cluster,moran_I,n_cells
0,0.2668851297533958,35105
1,0.18376291230887676,32054
10,0.2696378552429846,17456
11,0.1754404954070655,14675
12,0.2817746177278465,13941
13,0.43223197730640756,13920
14,0.4934290238515324,12673
15,0.5095868544902591,12215
16,0.2968172275265041,8381
17,0.1525558261421708,7755
18,0.5608310257572292,5944
19,0.3012159554257301,4205
2,0.25244038595995794,29542
20,0.6287206297495993,3839
21,0.020008334057468234,1931
22,0.09404197310939866,1245
23,0.0047370479552804705,1201
24,0.09086692762032006,1038
25,0.3085871006705883,965
26,0.6176367474975961,826
27,0.0038318278277069207,789
28,0.003180533119931628,603
29,0.001971375564439002,290
3,0.25239710899538664,28669
30,0.00029434427876210215,284
4,0.4191730649726533,22033
5,0.25084552220987266,21536
6,0.30120078385066784,21074
7,0.34274079513593997,20455
8,0.24882938358915987,19248
9,0.15612940890688426,18836
