cluster,total_counts_mean,total_counts_std,total_counts_median,total_counts_count,n_genes_by_counts_mean,n_genes_by_counts_std,n_genes_by_counts_median,n_genes_by_counts_count,bin_count_mean,bin_count_std,bin_count_median,bin_count_count
0,1247.1321,605.5049,1135.0,35105,911.8100270616721,368.98412673366454,860.0,35105,15.350519868964534,7.239776553575686,14.0,35105
1,851.1911,408.529,739.0,32054,636.5105447058089,256.51956289737876,572.0,32054,10.218787046858427,5.304512643018662,9.0,32054
2,1328.2069,631.5419,1216.0,29542,927.8784780989778,364.77005864680746,879.0,29542,14.92647755737594,7.307101644667577,14.0,29542
3,1080.5602,562.8616,944.0,28669,751.5204925180509,330.6640587207601,682.0,28669,15.746939202623043,7.909154919737368,14.0,28669
4,921.2222,451.36542,808.0,22033,733.2362365542596,309.4797656902223,664.0,22033,15.902282939227522,7.221601956673581,15.0,22033
5,1159.4055,628.78906,1009.0,21536,889.3053491827637,396.21706110272606,814.0,21536,17.461645616641903,8.085847489035618,16.0,21536
6,1086.3804,599.0926,932.0,21074,776.4851001233748,362.9788211861532,694.0,21074,15.738730188858309,8.570894412278415,14.0,21074
7,1288.413,645.8313,1162.0,20455,932.1394769005133,390.5205604810379,874.0,20455,16.989049132241504,8.079702059021171,16.0,20455
8,1380.8788,708.6018,1238.0,19248,1017.8140586034913,428.220305687304,953.0,19248,14.772807564422278,6.962821230408885,14.0,19248
9,1382.591,687.9326,1253.0,18836,977.1749309832236,395.2838766883366,923.5,18836,14.59465916330431,7.1850219642754976,13.0,18836
10,1182.8618,571.5564,1075.0,17456,882.1001947754354,353.763447819093,830.0,17456,15.561984417965169,7.239626990442401,14.0,17456
11,1211.1499,572.9319,1108.0,14675,852.2583304940375,337.13476501218435,805.0,14675,18.274548551959114,7.942939325102995,17.0,14675
12,1283.5737,633.7295,1161.0,13941,942.7546804389929,382.65908170662914,890.0,13941,17.18513736460799,7.957919998809777,16.0,13941
13,1016.07513,491.12546,904.0,13920,825.4252873563219,338.27925376981256,760.0,13920,12.947916666666666,5.748977234892454,12.0,13920
14,1065.0577,516.5592,942.0,12673,825.4704489860333,338.2168893399336,759.0,12673,13.903653436439676,5.918342704658391,13.0,12673
15,1031.7972,514.96436,911.0,12215,845.5390094146541,364.5961305272565,771.0,12215,12.82668849774867,5.896160140351185,12.0,12215
16,1136.5542,593.0733,1005.0,8381,897.6171101300561,395.7530503814295,824.0,8381,13.70349600286362,6.30547161308171,13.0,8381
17,1189.8855,610.4636,1055.0,7755,889.3847840103159,382.6806831581426,822.0,7755,15.593423597678918,7.383372844310164,15.0,7755
18,1045.1351,549.125,900.0,5944,880.1362718707941,397.47914385503105,789.0,5944,10.975605652759084,5.313168532545632,10.0,5944
19,962.4723,574.6775,778.0,4205,676.4627824019025,372.10230829261224,569.0,4205,16.80332936979786,7.314700365296468,16.0,4205
20,911.8833,429.15945,812.0,3839,758.597551445689,310.47881427875524,693.0,3839,15.966657983849961,6.98624667328402,15.0,3839
21,1066.4697,538.5905,951.0,1931,777.9979285344381,324.82174146180057,720.0,1931,12.790781978249612,6.635415887462673,11.0,1931
22,1238.5791,626.35077,1113.0,1245,897.281124497992,381.66770576739145,840.0,1245,16.55983935742972,7.5813271182883755,16.0,1245
23,1040.8243,503.5243,927.0,1201,757.6261448792673,307.242004424106,704.0,1201,12.316402997502081,6.098617798386043,11.0,1201
24,1288.1022,676.0742,1136.5,1038,961.1146435452794,416.20718145569333,883.5,1038,16.559730250481696,7.478145382711307,15.0,1038
25,1268.0829,632.01636,1156.0,965,1018.7575129533678,430.7186979232459,953.0,965,14.80621761658031,7.138723421559581,14.0,965
26,1113.908,545.00037,1011.5,826,926.4661016949152,388.9440491831268,872.0,826,12.279661016949152,5.458648773314304,11.0,826
27,1140.6147,547.47186,1021.0,789,823.722433460076,329.20094809949114,773.0,789,13.130544993662864,6.409419015306497,12.0,789
28,1007.47925,475.37305,903.0,603,738.6583747927032,292.3507530904789,686.0,603,12.346600331674958,6.3225274250885315,11.0,603
29,1213.1138,589.71204,1115.5,290,873.3344827586207,360.4224287978309,824.0,290,14.444827586206896,7.188422362391905,13.0,290
30,1116.1127,564.7591,978.5,284,812.1267605633802,347.41578757739285,741.5,284,13.461267605633802,6.751148035773302,12.0,284
