slice,n_cells,mean_total_counts,mean_n_genes_by_counts,mean_bin_count
VSNL1_MUT_A1_heart_19,33425,1214.267662436786,586.1045624532536,12.024263275991025
VSNL1_MUT_A1_heart_20,32278,1173.8292567958126,627.3380630770184,12.337877191895409
VSNL1_MUT_A1_heart_22,27300,1445.2013548010066,670.205347985348,13.876007326007326
VSNL1_MUT_A1_heart_23,30308,1352.973967795539,667.9982842813779,12.828890062029828
VSNL1_MUT_D1_heart_24,26810,1289.3480186602822,796.5492726594555,13.281909735173443
VSNL1_MUT_D1_heart_28,21953,1026.1142158297696,603.071698628889,14.269894775201568
VSNL1_MUT_D1_heart_30,31241,1108.3586759583281,476.7126532441343,13.180467974776736
VSNL1_MUT_D1_heart_31,28219,1358.0053934069863,643.4258832701371,13.750239200538644
WT_A1_heart_38,40607,1277.6056552413777,640.1831211367498,10.984263796882312
WT_A1_heart_47,29509,1310.0374170989069,515.3210884814803,12.01565624046901
WT_A1_heart_49,31962,1157.1827719980115,693.1780864776922,10.955384519116452
WT_A1_heart_50,30295,1339.6960637409081,683.8678989932332,10.89546129724377
WT_D1_heart_34,40341,1461.9013151020233,748.3568577873627,11.724845690488586
WT_D1_heart_35,41340,1444.2939556002211,837.3535800677311,11.456603773584906
WT_D1_heart_36,29103,1423.8137078439588,598.2237570009964,12.715527608837577
WT_D1_heart_37,35881,1225.4976148671758,642.7504250160252,10.915108274574287
